,flist,AUC
0,LIPID-P-1197,0.8152006172839507
1,LIPID-P-0647,0.8352623456790124
2,LIPID-N-0006,0.8487654320987654
3,MEDP1885,0.8668981481481481
4,MEDP0251,0.876929012345679
5,MEDN0334,0.8842592592592592
6,LIPID-P-1052,0.8931327160493826
7,LIPID-P-0662,0.8942901234567902
8,LIPID-P-1227,0.8993055555555556
9,LIPID-P-0858,0.9008487654320987
10,LIPID-P-1092,0.9012345679012346
11,LIPID-P-1180,0.9050925925925926
12,MEDP1479,0.9054783950617284
13,LIPID-P-1181,0.9058641975308642
14,LIPID-P-1226,0.9070216049382716
15,LIPID-P-0660,0.9070216049382716
16,MEDP0145,0.9074074074074074
17,LIPID-P-1202,0.90625
18,LIPID-P-1200,0.9058641975308641
19,LIPID-P-0642,0.9050925925925926
20,LIPID-P-1026,0.9066358024691358
21,LIPID-P-0658,0.9089506172839505
22,MW0142145,0.9093364197530864
23,MEDP1786,0.9112654320987655
24,LIPID-P-0269,0.912037037037037
25,MW0109751,0.9124228395061729
26,MEDP0007,0.9120370370370371
27,LIPID-P-1101,0.9120370370370371
28,LIPID-P-0637,0.9124228395061729
29,LIPID-P-0987,0.9108796296296297
30,LIPID-P-1062,0.9104938271604938
31,MEDN0604,0.9104938271604939
32,MW0139075,0.9135802469135803
33,LIPID-P-1042,0.9155092592592594
34,MEDP1928,0.9162808641975309
35,MW0143996,0.9158950617283951
36,MEDP1450,0.9155092592592593
37,MW0143225,0.9162808641975309
38,LIPID-N-0447,0.9158950617283951
39,MEDP1449,0.9135802469135802
40,MEDP0077,0.9120370370370371
41,MEDP1921,0.9101080246913581
42,MW0161530,0.9093364197530863
43,MEDN1108,0.9077932098765432
44,LIPID-P-0654,0.9070216049382716
45,MEDP1274,0.9047067901234567
46,LIPID-P-0649,0.9081790123456791
47,MEDL02553,0.9050925925925924
48,LIPID-N-0421,0.9023919753086419
49,LIPID-P-0936,0.902391975308642
50,LIPID-P-1001,0.9004629629629629
51,LIPID-P-1109,0.9016203703703703
52,LIPID-P-0393,0.8962191358024691
53,LIPID-P-0743,0.8950617283950616
54,LIPID-P-1174,0.8950617283950617
55,LIPID-P-0734,0.8927469135802469
56,MW0114282,0.8946759259259259
57,MEDP1919,0.8946759259259259
58,MW0124804,0.8935185185185185
59,LIPID-P-1056,0.8919753086419754
60,LIPID-P-0648,0.8904320987654322
61,MEDN0239,0.8865740740740741
62,LIPID-P-0640,0.8861882716049382
63,LIPID-P-0553,0.8827160493827161
64,MEDP1917,0.8742283950617283
65,MW0164379,0.873070987654321
66,MEDP0148,0.8703703703703703
67,LIPID-N-0110,0.8618827160493826
68,MEDP0120,0.8537808641975307
69,MW0110742,0.8429783950617283
70,LIPID-P-0377,0.8371913580246915
71,MEDP1506,0.8356481481481483
72,MEDN0729,0.8260030864197531
